,id,category,harga,jumlah_kamar,jumlah_kamar_mandi,luas_garasi,luas_bangunan,luas_lahan,name,link,daerah,lon,lat,total_luas,harga_fix,label
0,HO636446D620745ID,house,930000000,6.0,3.0,2.0,160.0,120.0,Turun Harga Rumah 2 Latai Di Soreang Indah Dekat Tol 6 Kamar Tidur,https://www.lamudi.co.id/rumah-2-latai-di-soreang-indah-dekat-tol-6-kamar-t-166751611867.html,Bandung,107.53866639328,-7.029438610736,280.0,3321428.5714285714,2
1,HO631998995D03CID,house,7000000000,5.0,3.0,0.0,600.0,225.0,JUAL RUKO PINGGIR JALAN RAYA KOPO PUSAT KOTA BANDUNG STRATEGIS ,https://www.lamudi.co.id/jual-2-ruko-jadi-1-bangunan-3-lantai-pinggir-jalan-166262184967.html,Bandung,107.5925,-6.96194,825.0,8484848.484848484,0
2,HO62FB61CD0DA0EID,house,748119952,3.0,2.0,1.0,2.0,62.0,Rumah Scandinavia di Katapang dekat 2 Tol Soroja dan Katapang Mantul,https://www.lamudi.co.id/rumah-scandinavia-di-katapang-dekat-2-tol-soroja-d-166064174121.html,Bandung,107.55333,-6.99917,64.0,11689374.25,0
3,HO6372F929A7D84ID,house,900000000,3.0,2.0,0.0,54.0,63.0,Di jual Rumah Cilengkrang Dekat Transmart Cipadung Bandung timur,https://www.lamudi.co.id/di-jual-rumah-cilengkrang-dekat-transmart-cipadung-166847927348.html,Bandung,107.58472,-6.94694,117.0,7692307.692307692,2
4,HO636BB7EC4116CID,house,685000000,2.0,1.0,1.0,50.0,72.0,Take over / over kredit rumah 2 lt dekat ke kampus widyatama Bandung,https://www.lamudi.co.id/take-over-over-kredit-rumah-2-lt-dekat-ke-kampus-w-166800382036.html,Bandung,107.65819,-6.89644,122.0,5614754.098360656,2
5,HO600A640FB931DID,house,1086600000,4.0,3.0,1.0,74.0,48.0,BELI RUMAH DAPAT HADIAH IPHONE,https://www.lamudi.co.id/rumah-indent-bangunan-baru-di-bandung.html,Bandung,107.66194,-6.92306,122.0,8906557.37704918,2
6,HO60036C24CA01BID,house,1950000000,3.0,3.0,1.0,150.0,160.0,Dijual  Rumah di Grand Panoramic Pasir Impun,https://www.lamudi.co.id/dikontrakan-rumah-di-grand-panoramic-pasir-impun.html,Bandung,107.665604,-6.903242,310.0,6290322.580645162,2
7,HO62EA6AE532299ID,house,847500000,3.0,3.0,0.0,70.0,40.0,Rumah Minimalis Modern 2 Lt Dkt Sekolah Citra Cemara 3 Bahasa Bandung,https://www.lamudi.co.id/rumah-minimalis-modern-2-lt-dkt-sekolah-citra-cema-165968716827.html,Bandung,107.57281772896,-6.9200996764331,110.0,7704545.454545454,2
8,LA60D9CA8B6C044ID,land,400800000,0.0,0.0,0.0,0.0,600.0,kavling Walini Bandung,https://www.lamudi.co.id/kavling-walini-bandung.html,Bandung,107.45430400012,-6.7259146214192,600.0,668000.0,2
9,LA61EA75DAA22A1ID,land,209000000,0.0,0.0,0.0,0.0,500.0,jual tanah dago murah di Bandung Barat,https://www.lamudi.co.id/jual-tanah-dago-murah-di-bandung-barat.html,Bandung,107.770011,-7.265489,500.0,418000.0,2
10,HO612CE9F144E3FID,house,1425000000,2.0,2.0,2.0,101.0,278.0,4 Unit Rumah Baru Selesai Dibangun,https://www.lamudi.co.id/5-unit-rumah-baru-selesai-dibangun.html,Bandung,108.251589,-6.387806,379.0,3759894.4591029026,2
11,HO6010D479E9396ID,house,847500000,3.0,3.0,1.0,70.0,40.0,Dijual Rumah Hunian Minimalis dengan lokasi tengah Kota Bandung,https://www.lamudi.co.id/rumah-3-kamar-tidur-bisa-custom-tata-ruang.html,Bandung,107.618073,-6.91161,110.0,7704545.454545454,2
12,CO634E7917477BCID,commercial-1,4500000000,0.0,0.0,0.0,240.0,102.0,JUAL RUKO SIAP PAKAI REGOL,https://www.lamudi.co.id/jual-ruko-siap-pakai-regol-166608719163.html,Bandung,107.6084,-6.93206,342.0,13157894.736842105,0
13,HO62DB95BBACD3AID,house,1086600000,3.0,2.0,0.0,74.0,48.0,Rumah 2 Lantai Dalam Komplek Perumahan Elang Kota Bandung,https://www.lamudi.co.id/rumah-2-lantai-dalam-komplek-perumahan-elang-kota-165855788322.html,Bandung,107.58167420807,-6.9113379095688,122.0,8906557.37704918,2
14,HO6365B9DB8CC0FID,house,6800000000,20.0,15.0,6.0,700.0,800.0,JUAL RUMAH PLUS KOSTAN PLUS RUKO,https://www.lamudi.co.id/jual-rumah-plus-kostan-plus-ruko-166761109986.html,Bandung,107.67604,-6.90256,1500.0,4533333.333333333,2
15,LA636DCA122F847ID,land,318000000,0.0,0.0,0.0,0.0,750.0,Promo Sejuta Bisa Dapat Tanah Ratusan Meter Di Bandung Untuk Villa View Gunung,https://www.lamudi.co.id/promo-sejuta-bisa-dapat-tanah-ratusan-meter-di-ban-166813953891.html,Bandung,107.50973,-6.76241,750.0,424000.0,2
