id,category,harga,jumlah_kamar,jumlah_kamar_mandi,luas_garasi,luas_bangunan,luas_lahan,name,link,daerah,lon,lat
HO636446D620745ID,house,930000000,6,3,2,160,120,Turun Harga Rumah 2 Latai Di Soreang Indah Dekat Tol 6 Kamar Tidur,https://www.lamudi.co.id/rumah-2-latai-di-soreang-indah-dekat-tol-6-kamar-t-166751611867.html,Bandung,107.53866639328,-7.029438610736
HO631998995D03CID,house,7000000000,5,3,,600,225,JUAL RUKO PINGGIR JALAN RAYA KOPO PUSAT KOTA BANDUNG STRATEGIS ,https://www.lamudi.co.id/jual-2-ruko-jadi-1-bangunan-3-lantai-pinggir-jalan-166262184967.html,Bandung,107.5925,-6.96194
HO62FB61CD0DA0EID,house,748119952,3,2,1,2,62,Rumah Scandinavia di Katapang dekat 2 Tol Soroja dan Katapang Mantul,https://www.lamudi.co.id/rumah-scandinavia-di-katapang-dekat-2-tol-soroja-d-166064174121.html,Bandung,107.55333,-6.99917
HO6372F929A7D84ID,house,900000000,3,2,,54,63,Di jual Rumah Cilengkrang Dekat Transmart Cipadung Bandung timur,https://www.lamudi.co.id/di-jual-rumah-cilengkrang-dekat-transmart-cipadung-166847927348.html,Bandung,107.58472,-6.94694
HO636BB7EC4116CID,house,685000000,2,1,1,50,72,Take over / over kredit rumah 2 lt dekat ke kampus widyatama Bandung,https://www.lamudi.co.id/take-over-over-kredit-rumah-2-lt-dekat-ke-kampus-w-166800382036.html,Bandung,107.65819,-6.89644
HO600A640FB931DID,house,1086600000,4,3,1,74,48,BELI RUMAH DAPAT HADIAH IPHONE,https://www.lamudi.co.id/rumah-indent-bangunan-baru-di-bandung.html,Bandung,107.66194,-6.92306
HO60036C24CA01BID,house,1950000000,3,3,1,150,160,Dijual  Rumah di Grand Panoramic Pasir Impun,https://www.lamudi.co.id/dikontrakan-rumah-di-grand-panoramic-pasir-impun.html,Bandung,107.665604,-6.903242
HO62EA6AE532299ID,house,847500000,3,3,,70,40,Rumah Minimalis Modern 2 Lt Dkt Sekolah Citra Cemara 3 Bahasa Bandung,https://www.lamudi.co.id/rumah-minimalis-modern-2-lt-dkt-sekolah-citra-cema-165968716827.html,Bandung,107.57281772896,-6.9200996764331
LA60D9CA8B6C044ID,land,400800000,,,,,600,kavling Walini Bandung,https://www.lamudi.co.id/kavling-walini-bandung.html,Bandung,107.45430400012,-6.7259146214192
LA61EA75DAA22A1ID,land,209000000,,,,,500,jual tanah dago murah di Bandung Barat,https://www.lamudi.co.id/jual-tanah-dago-murah-di-bandung-barat.html,Bandung,107.770011,-7.265489
HO612CE9F144E3FID,house,1425000000,2,2,2,101,278,4 Unit Rumah Baru Selesai Dibangun,https://www.lamudi.co.id/5-unit-rumah-baru-selesai-dibangun.html,Bandung,108.251589,-6.387806
HO6010D479E9396ID,house,847500000,3,3,1,70,40,Dijual Rumah Hunian Minimalis dengan lokasi tengah Kota Bandung,https://www.lamudi.co.id/rumah-3-kamar-tidur-bisa-custom-tata-ruang.html,Bandung,107.618073,-6.91161
CO634E7917477BCID,commercial-1,4500000000,,,,240,102,JUAL RUKO SIAP PAKAI REGOL,https://www.lamudi.co.id/jual-ruko-siap-pakai-regol-166608719163.html,Bandung,107.6084,-6.93206
HO62DB95BBACD3AID,house,1086600000,3,2,,74,48,Rumah 2 Lantai Dalam Komplek Perumahan Elang Kota Bandung,https://www.lamudi.co.id/rumah-2-lantai-dalam-komplek-perumahan-elang-kota-165855788322.html,Bandung,107.58167420807,-6.9113379095688
HO6365B9DB8CC0FID,house,6800000000,20,15,6,700,800,JUAL RUMAH PLUS KOSTAN PLUS RUKO,https://www.lamudi.co.id/jual-rumah-plus-kostan-plus-ruko-166761109986.html,Bandung,107.67604,-6.90256
LA636DCA122F847ID,land,318000000,,,,,750,Promo Sejuta Bisa Dapat Tanah Ratusan Meter Di Bandung Untuk Villa View Gunung,https://www.lamudi.co.id/promo-sejuta-bisa-dapat-tanah-ratusan-meter-di-ban-166813953891.html,Bandung,107.50973,-6.76241
HO63627F9093CDAID,house,650000000,3,2,1,48,60,Dijual Cluster Mewah 2 Lt 600 Jtan di Kawasan Sejuk Cihanjuang Cimahi ,https://www.lamudi.co.id/dijual-cluster-mewah-2-lt-600-jtan-di-kawasan-seju-166739956874.html,Bandung,107.577958,-6.745659
LA624E93AAB6C71ID,land,1180000000,,,,,10000,Jual Tanah Agrobisnis dan Villa Ciwidey Bandung,https://www.lamudi.co.id/jual-tanah-agrobisnis-dan-villa-ciwidey-bandung-165847465913.html,Bandung,107.4654,-7.1024
HO636A35F14B5D7ID,house,579098000,2,1,1,36,73,RUMAH STYLE MODERN RUANGAN LEGA BIKIN NYAMAN AKSES DEKAT KE TOL SOROJA,https://www.lamudi.co.id/rumah-style-modern-ruangan-lega-bikin-nyaman-akses-166790500914.html,Bandung,107.51833,-7.03306
