id,category,harga,jumlah_kamar,jumlah_kamar_mandi,luas_garasi,luas_bangunan,luas_lahan,name,link,bandung,jarak,harga_satuan,lon,lat
HO631998995D03CID,house,7000000000,5,3,,600,225,JUAL RUKO PINGGIR JALAN RAYA KOPO PUSAT KOTA BANDUNG STRATEGIS ,https://www.lamudi.co.id/jual-2-ruko-jadi-1-bangunan-3-lantai-pinggir-jalan-166262184967.html,true,4.745823020153431,8484848.484848484,107.5925,-6.96194
HO6372F929A7D84ID,house,900000000,3,2,,54,63,Di jual Rumah Cilengkrang Dekat Transmart Cipadung Bandung timur,https://www.lamudi.co.id/di-jual-rumah-cilengkrang-dekat-transmart-cipadung-166847927348.html,true,3.6075666886366995,7692307.692307692,107.58472,-6.94694
HO636BB7EC4116CID,house,685000000,2,1,1,50,72,Take over / over kredit rumah 2 lt dekat ke kampus widyatama Bandung,https://www.lamudi.co.id/take-over-over-kredit-rumah-2-lt-dekat-ke-kampus-w-166800382036.html,true,6.553341018128093,5614754.098360656,107.65819,-6.89644
HO600A640FB931DID,house,1086600000,4,3,1,74,48,BELI RUMAH DAPAT HADIAH IPHONE,https://www.lamudi.co.id/rumah-indent-bangunan-baru-di-bandung.html,true,6.382826651419759,8906557.37704918,107.66194,-6.92306
HO633D8AFF47A82ID,house,1350000000,4,2,2,145,108,TERMURAH Rumah Setra Dago Antapani DKT Arcamanik & Cisaranten Bandung,https://www.lamudi.co.id/langka-rumah-setra-dago-antapani-dkt-arcamanik-cis-166497766366.html,true,6.382826651419759,5335968.379446641,107.66194,-6.92306
HO60036C24CA01BID,house,1950000000,3,3,1,150,160,Dijual  Rumah di Grand Panoramic Pasir Impun,https://www.lamudi.co.id/dikontrakan-rumah-di-grand-panoramic-pasir-impun.html,true,7.059938445949747,6290322.580645162,107.665604,-6.903242
HO62EA6AE532299ID,house,847500000,3,3,,70,40,Rumah Minimalis Modern 2 Lt Dkt Sekolah Citra Cemara 3 Bahasa Bandung,https://www.lamudi.co.id/rumah-minimalis-modern-2-lt-dkt-sekolah-citra-cema-165968716827.html,true,3.460634807628408,7704545.454545454,107.572818,-6.9201
HO6010D479E9396ID,house,847500000,3,3,1,70,40,Dijual Rumah Hunian Minimalis dengan lokasi tengah Kota Bandung,https://www.lamudi.co.id/rumah-3-kamar-tidur-bisa-custom-tata-ruang.html,true,1.8484358687103255,7704545.454545454,107.618073,-6.91161
CO634E7917477BCID,commercial-1,4500000000,,,,240,102,JUAL RUKO SIAP PAKAI REGOL,https://www.lamudi.co.id/jual-ruko-siap-pakai-regol-166608719163.html,true,1.3305684626927612,13157894.736842105,107.6084,-6.93206
HO62DB95BBACD3AID,house,1086600000,3,2,,74,48,Rumah 2 Lantai Dalam Komplek Perumahan Elang Kota Bandung,https://www.lamudi.co.id/rumah-2-lantai-dalam-komplek-perumahan-elang-kota-165855788322.html,true,2.698368851865426,8906557.37704918,107.581674,-6.911338
HO6365B9DB8CC0FID,house,6800000000,20,15,6,700,800,JUAL RUMAH PLUS KOSTAN PLUS RUKO,https://www.lamudi.co.id/jual-rumah-plus-kostan-plus-ruko-166761109986.html,true,8.191468125665196,4533333.333333333,107.67604,-6.90256
LA624670D9777BFID,land,137700000,,,,,81, SEGERA BELI  TANAH KAVLING ISTIMEWA HARGA MURAH DI JATIHANDAP BANDUNG TIMUR,https://www.lamudi.co.id/segera-beli-tanah-kavling-istimewa-harga-murah-di-bandung-timur-3.html,true,5.846033072185629,,107.654808,-6.905499
AP634566C97FE70ID,apartment,580000000,2,1,1,49,,Dijual Apartement 2 Bedroom Gateway Pasteur Bandung,https://www.lamudi.co.id/dijual-apartemen-2-bedroom-gateway-pasteur-bandung-166549268141.html,true,5.603748355284275,,107.56311,-6.89121
HO6160F7E11C848ID,house,481000000,2,1,1,38,81,"Exclusive SEKALI,RUMAH MURAH TANPA DP CICILAN 3 JUTAAN DI CIJAMBE UJUNGBERUNG ",https://www.lamudi.co.id/exclusive-sekali-rumah-murah-tanpa-dp-cicilan-3-jutaan-di-cijambe-ujungberung.html,true,11.196745386236378,4042016.806722689,107.705,-6.91
HO629F6991B1E2AID,house,550000000,2,1,1,36,64,Cluster ter MURAAH Arcamanik kota bandung dekat Polsek Arcamanik,https://www.lamudi.co.id/cluster-ter-muraah-arcamanik-kota-bandung-strategis-dekat-polsek-arcamanik.html,true,9.896589932061817,5500000,107.693391,-6.929506
HO624AC00A11918ID,house,650000000,3,2,32,70,74,rumah murah tengah kota bandung cluster ciwastra urban living grand sumarecon,https://www.lamudi.co.id/rumah-murah-tengah-kota-bandung-cluster-ciwastra-urban-living-grand-sumarecon.html,true,8.099126734618531,4513888.888888889,107.665478,-6.96086
CO62CD8C3013BD3ID,commercial-1,1300000000,,,,120,100,Ruko gandeng 3 cocok untuk usaha dkt perumahan,https://www.lamudi.co.id/ruko-gandeng-3-cocok-untuk-usaha-dkt-perumahan.html,true,12.047568444859358,5909090.909090909,107.71306,-6.92806
HO62F5AB84185BAID,house,2250000000,3,2,3,127,132,Promo diskon 250 jt rumah dago cigadung ,https://www.lamudi.co.id/promo-diskon-250-jt-rumah-dago-cigadung-166026739636.html,true,6.568023688982788,8687258.687258687,107.618573,-6.863551
CO6285CCA94C65EID,commercial-1,5999999999,,,,577,298,"Gedung bimbel aktif, butuh segera sampai deal area sayap suci dkt makam pahlawan",https://www.lamudi.co.id/gedung-bimbel-aktif-butuh-segera-sampai-deal-area-sayap-suci-dkt-makam-pahlawan.html,true,4.236576704270306,6857142.856,107.636448,-6.900264
HO60651A9993F11ID,house,627700000,2,2,30,52,60,residence 2 lantai di kantor pemasaran villa tropis dago 2 bandung ahmad land,https://www.lamudi.co.id/residence-2-lantai-di-kantor-pemasaran-villa-tropis-dago-2-bandung-ahmad-land.html,true,5.397067065488833,5604464.285714285,107.623445,-6.876258
LA6285C924C4F27ID,land,209000000000,,,,,4150,"Land for sale, in the Dago mainroad area, suitable for a hotel bandung indonesia",https://www.lamudi.co.id/land-for-sale-in-the-dago-mainroad-area-suitable-for-a-hotel-bandung-indonesia.html,true,5.397067065488833,,107.623445,-6.876258
AP625FE3CE52F21ID,apartment,575000000,1,1,1,32,,Jual Apartemen Beverly Dago Lt. 1 Dekat Kampus ITB tinggal bawa koper,https://www.lamudi.co.id/jual-apartemen-beverly-dago-lt-1-dekat-kampus-itb-tinggal-bawa-koper.html,true,5.397067065488833,,107.623445,-6.876258
HO6256807E1F3F3ID,house,1699750000,4,3,,125,119,Rumah Baru 2 lantai Arcamanik Bandung Timur Cisaranten Kulon dekat antapani,https://www.lamudi.co.id/rumah-baru-2-lantai-arcamanik-bandung-timur-cisaranten-kulon-dekat-antapani.html,true,9.896589932061817,6966188.5245901635,107.693391,-6.929506
HO6253ECF11095DID,house,650000000,2,1,,50,73,Rumah Baru di Gedebage Kota Bandung dekat Pintu Tol ,https://www.lamudi.co.id/rumah-baru-di-gedebage-kota-bandung-dekat-pintu-to-165983249978.html,true,9.703468635287475,5284552.845528455,107.687404,-6.948904
HO623887A0EED62ID,house,4500000000,7,4,,233,0,RUMAH MEWAH HARGA RAMAH di DAGO BANDUNG,https://www.lamudi.co.id/rumah-mewah-harga-ramah-di-dago-bandung.html,true,4.228294390098305,19313304.72103004,107.621282,-6.954875
HO63649048AFABFID,house,1750000000,3,3,1,90,165,RUMAH MURAH DALAM KOMPLEK DI PASIR IMPUN BANDUNG TIMUR,https://www.lamudi.co.id/rumah-murah-dalam-komplek-di-pasir-impun-bandung-t-166753492091.html,true,7.059938445949747,6862745.098039215,107.665604,-6.903242
HO635B820C3C012ID,house,650000000,2,1,1,45,72,Rumah Jatihandap Cicaheum Masih Gres Siap Huni,https://www.lamudi.co.id/rumah-jatihandap-cicaheum-masih-gres-siap-huni-166694145243.html,true,7.735309383558918,5555555.555555556,107.66679,-6.88966
LA6299FD4C3EEE9ID,land,3000000000,,,,,440,Dijual TANAH di main road Cigadung Raya Barat Bandung,https://www.lamudi.co.id/dijual-tanah-di-main-road-cigadung-raya-barat-bandung.html,true,3.6075666886366995,,107.58472,-6.94694
CO6364AB7D8933FID,commercial-1,23000000000,,,,2160,788,DIJUAL CEPAT  RUANG USAHA STRATEGIS di SAYAP SOEKARNO HATTA BANDUNG,https://www.lamudi.co.id/dijual-cepat-ruang-usaha-strategis-di-sayap-soekar-166754188591.html,true,4.486617003877061,7801899.592944369,107.634505,-6.947703
HO636663FB5214AID,house,1500000000,3,2,,100,128,Rumah MURAH Kmp Bentang Asri Syp Martanegara Turangga Buah Batu [L362],https://www.lamudi.co.id/rumah-murah-kmp-bentang-asri-syp-martanegara-turan-166765465148.html,true,3.929202989726465,6578947.368421053,107.635324,-6.937933
LA636DBB2F2E00EID,land,3600000000,,,,,300,"Dijual Tanah Kavling di Jl. Parakan III, Buah Batu - Bandung",https://www.lamudi.co.id/dijual-tanah-kavling-di-jl-parakan-iii-buah-batu-b-166813572764.html,true,4.228294390098305,,107.621282,-6.954875
HO636661703136EID,house,850000000,2,2,,87,70,Rumah BARU Cluster Eklusive Panyileukan dkt POLDA Jabar Soetta [T594],https://www.lamudi.co.id/rumah-baru-cluster-eklusive-panyileukan-dkt-polda-166765400040.html,true,11.462464291727155,5414012.738853503,107.707369,-6.932218
CO62A1C148D3608ID,commercial-1,22000000000,,,,3510,5067,Gudang Murah Bwh NJOP Kawasan Industri Mekar Mulya GedeBage Bandung,https://www.lamudi.co.id/gudang-murah-bwh-njop-di-kawasan-industri-mekar-mulya-gedebage-bandung-strategis.html,true,11.462464291727155,2564999.417045587,107.707369,-6.932218
HO5FFFC5DA32FF9ID,house,532000000,2,1,30,52,60,Villa di bandung murah bojongkoneng residence kantor pemasaran villa tropis dago,https://www.lamudi.co.id/villa-di-bandung-murah-bojongkoneng-residence-kantor-pemasaran-villa-tropis-dago.html,true,5.241029393418487,4750000,107.64675,-6.90003
HO625FB1E3004AFID,house,8975000000,10,9,10,700,500,Jual Rumah Kost di Cisitu Lama Dago Dekat Kampus ITB,https://www.lamudi.co.id/jual-rumah-kost-di-cisitu-lama-dago-dekat-kampus-itb.html,true,5.397067065488833,7479166.666666667,107.623445,-6.876258
HO6332D63A0DB46ID,house,599400000,3,2,1,60,60,RUMAH SYARIAH TANPA RIBA DI KOTA BANDUNG - UJUNG BERUNG,https://www.lamudi.co.id/rumah-syariah-tanpa-riba-di-kota-bandung-ujung-ber-166427602678.html,true,11.196745386236378,4995000,107.705,-6.91
HO62E9FACA03906ID,house,725566000,3,2,1,52,52,Jual Rumah Baru dekat pusat kota bandung pasteur jatihandap mandalajati cicaheum,https://www.lamudi.co.id/jual-rumah-baru-dekat-pusat-kota-bandung-pasteur-j-165950125870.html,true,7.639662563144931,6976596.153846154,107.664708,-6.887585
HO62BAAB5030096ID,house,12800000000,8,5,3,450,732,Rumah Belanda clasik murah di dekat Ahmad Yani sayap Riau kota Bandung,https://www.lamudi.co.id/rumah-belanda-clasik-di-dekat-ahmad-yani-sayap-riau-kota-bandung.html,true,2.3283672834583666,10829103.214890016,107.619047,-6.906026
HO6373385B445DAID,house,550000000,3,2,,110,77,jual cepat RUMAH 550 juta,https://www.lamudi.co.id/jual-cepat-rumah-550-000-000-166849545160.html,true,4.228294390098305,2941176.470588235,107.621282,-6.954875
HO632C7F446D9EFID,house,6500000000,4,2,1,350,500,Jual rumah area jalan Asia Afrika,https://www.lamudi.co.id/jual-rumah-area-jalan-asia-afrika-166386054870.html,true,2.1964535829029987,7647058.823529412,107.623744,-6.92435
HO6374E1F44C9F6ID,house,350000000,2,1,,40,60,RUMAH ANGSURAN MURAH TANPA DP,https://www.lamudi.co.id/rumah-angsuran-tanpa-dp-166860440438.html,true,4.228294390098305,3500000,107.621282,-6.954875
HO6375F669769B0ID,house,900000000,3,2,1,70,80,Super Murah Hunian Exclusive Fasilitas Premium Strategis Area Turangga,https://www.lamudi.co.id/super-murah-hunian-exclusive-fasilitas-premium-str-166867517763.html,true,3.6061901934300455,6000000,107.63496,-6.93167
HO634A129F43880ID,house,860000000,3,2,2,70,84,Rumah Murah di S.Kota Baru Promo Honda PCX dan Iphone Promax,https://www.lamudi.co.id/rumah-murah-di-s-kota-baru-promo-honda-pcx-dan-iph-166579881583.html,true,1.8484358687103255,5584415.584415585,107.618073,-6.91161
HO5F36725168F4FID,house,2900000000,3,2,2,300,200,rumah lux siap huni di komplek perumahan singgasana pradana,https://www.lamudi.co.id/rumah-lux-siap-huni-di-komplek-perumahan-singgasana-pradana-1.html,true,3.4510896664652364,5800000,107.603277,-6.951883
HO5F367254328F7ID,house,3300000000,4,3,0,300,200,Rumah Singgasana Pradana,https://www.lamudi.co.id/rumah-singgasana-pradana-1.html,true,3.4510896664652364,6600000,107.603277,-6.951883
HO5F367254C5BE5ID,house,3200000000,4,3,0,300,197,Rumah Kompleks Mekarwangi Bandung,https://www.lamudi.co.id/rumah-kompleks-mekarwangi-bandung-4.html,true,3.4510896664652364,6438631.790744467,107.603277,-6.951883
CO5D6F95A53C62CID,commercial-1,22000000000,,,0,1000,490,gedung di jln lengkong,https://www.lamudi.co.id/gedung-di-jln-lengkong.html,true,2.6902613862473577,14765100.671140939,107.626978,-6.929357
HO63560476EBF7DID,house,35000000000,8,4,20,440,6072,TownHouse asri dan nyaman siap huni di Ciumbuleuit Bandung Jawa Barat,https://www.lamudi.co.id/townhouse-asri-dan-nyaman-siap-huni-di-ciumbuleuit-166658162299.html,true,7.788622919436776,5374692.874692875,107.61379,-6.85147
HO6302EA3315882ID,house,2200000000,4,3,2,250,175,Rumah Mewah harga Wah,https://www.lamudi.co.id/rumah-mewah-harga-wah-166113541180.html,true,6.569459979167332,5176470.588235294,107.596224,-6.862306
HO62DA5161AAAE6ID,house,11000000000,7,7,16,806,971,Rumah Mewah dikawasan elite Kota Bandung,https://www.lamudi.co.id/rumah-mewah-dikawasan-elite-kota-bandung-165847484982.html,true,5.584346896428627,6190208.216094541,107.582368,-6.875536
CO5D5FB74BAEB8CID,commercial-1,100000000000,,,0,2000,5000,Gudang Ujungberung,https://www.lamudi.co.id/gudang-ujungberung-1.html,true,3.17355976086415,14285714.285714285,107.580433,-6.904741
HO63077B09CC5D1ID,house,1300000000,4,3,1,116,100,RUMAH BARU MODERN INDUSTRIAL DI AREA LOGAM CIWASTRA BUAH BATU,https://www.lamudi.co.id/rumah-baru-modern-industrial-di-area-logam-ciwastr-166143463313.html,true,8.099126734618531,6018518.518518519,107.665478,-6.96086
HO6217A1FB7B30AID,house,750000000,2,2,,55,60,RUMAH DIJUAL RUMAH DI BANDUNG DIJUAL SANTIKA RESIDENCE PANYILEUKAN BANDUNG PROMO DP 100 JT AN,https://www.lamudi.co.id/rumah-dijual-rumah-di-bandung-dijual-santika-residence-panyileukan-bandung-promo-dp-100-jt-an.html,true,4.228294390098305,6521739.130434782,107.621282,-6.954875
HO626678785B5C4ID,house,2600000000,3,5,1,170,121,Rumah minimalis cantik,https://www.lamudi.co.id/rumah-minimalis-cantik-21.html,true,3.5668829353269578,8934707.90378007,107.62448,-6.9458
LA633ED64A6C631ID,land,16500000000,,,,,3796,Tanah Dijual di Bawah NJOP di AH Nasution Arcamanik Bandung,https://www.lamudi.co.id/tanah-dijual-di-bawah-njop-di-ah-nasution-arcamani-166506247425.html,true,9.896589932061817,,107.693391,-6.929506
HO625D49D4E463FID,house,5000000000,6,4,3,450,650,Dijual rumah Kawasan bandung timur,https://www.lamudi.co.id/dijual-rumah-kawasan-bandung-timur.html,true,4.228294390098305,4545454.545454546,107.621282,-6.954875
